"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T360_360_0","rKIDNEY_67",0.452805204464988,23,23,100
"upload_R1CPTC0T360_360_0","rKIDNEY_71",-0.948101043961401,22,22,100
"upload_R1CPTC0T360_360_0","rKIDNEY_72m",0.579166317731395,39,39,100
"upload_R1CPTC0T360_360_0","rKIDNEY_83",-0.740798970270689,19,19,100
"upload_R1CPTC0T360_360_0","rKIDNEY_86",-0.55535911128716,18,18,100
"upload_R1CPTC0T360_360_0","rKIDNEY_92",-2.63869865884929,18,18,100
"upload_R1CPTC0T672_672_0","rKIDNEY_108",-1.16269179544293,16,16,100
"upload_R1CPTC0T672_672_0","rKIDNEY_116",0.939483064944007,16,16,100
"upload_R1CPTC0T672_672_0","rKIDNEY_119",-0.406939745344791,16,16,100
"upload_R1CPTC0T672_672_0","rKIDNEY_127",-1.32159649246698,15,15,100
"upload_R1CPTC0T672_672_0","rKIDNEY_137m",-0.18717762165178,22,22,100
"upload_R1CPTC0T672_672_0","rKIDNEY_143",0.0104142445116614,14,14,100
"upload_R1CPTC0T672_672_0","rKIDNEY_145",0.268769661909951,14,14,100
"upload_R1CPTC0T672_672_0","rKIDNEY_147",-0.116515939892542,14,14,100
"upload_R1CPTC0T672_672_0","rKIDNEY_156",0.0664443412252237,14,14,100
"upload_R1CPTC0T672_672_0","rKIDNEY_164",0.983131205842379,13,13,100
"upload_R1CPTC0T672_672_0","rKIDNEY_168",-1.22671749034069,13,13,100
"upload_R1CPTC0T672_672_0","rKIDNEY_178",-0.643623597713941,13,13,100
"upload_R1CPTC0T672_672_0","rKIDNEY_182",-1.29281317677524,13,13,100
"upload_R1CPTC0T672_672_0","rKIDNEY_184",0.533840998971582,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_187",1.57770428493269,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_193",2.30498274144388,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_196",-0.0947543819019041,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_197",0.2637809009716,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_198",-1.35304842863483,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_201",0.575897749241638,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_202",-1.61209417875193,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_205",-0.0839493575549174,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_206",-0.108065278888963,12,12,100
"upload_R1CPTC0T672_672_0","rKIDNEY_211",1.02211527959812,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_214",-0.100617797362085,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_217",1.39883688016743,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_218",0.484454608324258,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_220",0.221664501949152,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_221",0.336885244986372,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_224",-0.0692531501493955,11,11,100
"upload_R1CPTC0T672_672_0","rKIDNEY_235",0.749281909830479,10,10,100
"upload_R1CPTC0T672_672_0","rKIDNEY_240",0.672240487049659,10,10,100
"upload_R1CPTC0T672_672_0","rKIDNEY_241",0.916052020897272,10,10,100
"upload_R1CPTC0T672_672_0","rKIDNEY_244",-2.14208506288596,10,10,100
"upload_R1CPTC0T672_672_0","rKIDNEY_257",-0.55560547461389,10,10,100
"upload_R1CPTC0T672_672_0","rKIDNEY_260",0.254992869513638,10,10,100
